name,datetime (utc timezone),followed
rinaizuta.bnk48official,2018-05-31 13:00:00,140605
korn.bnk48official,2018-05-31 13:00:00,137955
mind.bnk48official,2018-05-31 13:00:00,130346
maysa.bnk48official,2018-05-31 13:00:00,130187
nink.bnk48official,2018-05-31 13:00:00,122513
kate.bnk48official,2018-05-31 13:00:00,114575
piam.bnk48office,2018-05-31 13:00:00,114368
jib.bnk48office,2018-05-31 13:00:00,108112
mewnich.bnk48official,2018-05-31 13:00:00,94991
fond.bnk48office,2018-05-31 13:00:00,82160
june.bnk48office,2018-05-31 13:00:00,78215
ratah.bnk48official,2018-05-31 13:00:00,65500
cake.bnk48official,2018-05-31 13:00:00,57546
bamboo.bnk48office,2018-05-31 13:00:00,57010
aom.bnk48official,2018-05-31 13:00:00,51087
panda.bnk48official,2018-05-31 13:00:00,49447
myyu.bnk48official,2018-05-31 13:00:00,49377
pakwan.bnk48office,2018-05-31 13:00:00,49334
deenee.bnk48official,2018-05-31 13:00:00,48457
wee.bnk48official,2018-05-31 13:00:00,47754
kheng.bnk48official,2018-05-31 13:00:00,46701
phukkhom.bnk48office,2018-05-31 13:00:00,45949
niky.bnk48office,2018-05-31 13:00:00,45345
fifa.bnk48official,2018-05-31 13:00:00,44096
view.bnk48official,2018-05-31 13:00:00,43712
stang.bnk48office,2018-05-31 13:00:00,43564
new.bnk48official,2018-05-31 13:00:00,43523
gygee.bnk48official,2018-05-31 13:00:00,42415
khamin.bnk48official,2018-05-31 13:00:00,41262
minmin.bnk48office,2018-05-31 13:00:00,40992
natherine.bnk48official,2018-05-31 13:00:00,39548
maira.bnk48official,2018-05-31 13:00:00,39464
oom.bnk48official,2018-05-31 13:00:00,39008
faii.bnk48official,2018-05-31 13:00:00,38890
nine.bnk48official,2018-05-31 13:00:00,35808
pun.bnk48official,2018-05-31 12:00:00,468234
cherprang.bnk48official,2018-05-31 12:00:00,396614
orn.bnk48official,2018-05-31 12:00:00,311275
jennis.bnk48official,2018-05-31 12:00:00,283818
music.bnk48official,2018-05-31 12:00:00,275662
mobile.bnk48official,2018-05-31 12:00:00,272349
noey.bnk48office,2018-05-31 12:00:00,260218
kaimook.bnk48official,2018-05-31 12:00:00,243141
kaew.bnk48official,2018-05-31 12:00:00,220409
tarwaan.bnk48office,2018-05-31 12:00:00,196652
satchan.bnk48official,2018-05-31 12:00:00,192105
namneung.bnk48official,2018-05-31 12:00:00,183396
pupe.bnk48official,2018-05-31 12:00:00,171831
namsai.bnk48official,2018-05-31 12:00:00,163132
miori.bnk48official,2018-05-31 12:00:00,161991
jane.bnk48official,2018-05-31 12:00:00,160651
can.bnk48official,2018-05-31 12:00:00,154805
jaa.bnk48official,2018-05-31 12:00:00,141641
rinaizuta.bnk48official,2018-05-31 12:00:00,140570
korn.bnk48official,2018-05-31 12:00:00,137910
mind.bnk48official,2018-05-31 12:00:00,130309
maysa.bnk48official,2018-05-31 12:00:00,130143
nink.bnk48official,2018-05-31 12:00:00,122488
kate.bnk48official,2018-05-31 12:00:00,114541
piam.bnk48office,2018-05-31 12:00:00,114336
jib.bnk48office,2018-05-31 12:00:00,108081
mewnich.bnk48official,2018-05-31 12:00:00,94913
fond.bnk48office,2018-05-31 12:00:00,82121
june.bnk48office,2018-05-31 12:00:00,78172
ratah.bnk48official,2018-05-31 12:00:00,65463
cake.bnk48official,2018-05-31 12:00:00,57527
bamboo.bnk48office,2018-05-31 12:00:00,56981
aom.bnk48official,2018-05-31 12:00:00,51072
panda.bnk48official,2018-05-31 12:00:00,49429
myyu.bnk48official,2018-05-31 12:00:00,49349
pakwan.bnk48office,2018-05-31 12:00:00,49314
deenee.bnk48official,2018-05-31 12:00:00,48437
wee.bnk48official,2018-05-31 12:00:00,47728
kheng.bnk48official,2018-05-31 12:00:00,46672
phukkhom.bnk48office,2018-05-31 12:00:00,45926
niky.bnk48office,2018-05-31 12:00:00,45315
fifa.bnk48official,2018-05-31 12:00:00,44080
view.bnk48official,2018-05-31 12:00:00,43681
stang.bnk48office,2018-05-31 12:00:00,43556
new.bnk48official,2018-05-31 12:00:00,43498
gygee.bnk48official,2018-05-31 12:00:00,42390
khamin.bnk48official,2018-05-31 12:00:00,41242
minmin.bnk48office,2018-05-31 12:00:00,40970
natherine.bnk48official,2018-05-31 12:00:00,39525
maira.bnk48official,2018-05-31 12:00:00,39446
oom.bnk48official,2018-05-31 12:00:00,38986
faii.bnk48official,2018-05-31 12:00:00,38833
nine.bnk48official,2018-05-31 12:00:00,35787
pun.bnk48official,2018-05-31 11:00:00,468155
cherprang.bnk48official,2018-05-31 11:00:00,396553
orn.bnk48official,2018-05-31 11:00:00,311222
jennis.bnk48official,2018-05-31 11:00:00,283764
music.bnk48official,2018-05-31 11:00:00,275591
mobile.bnk48official,2018-05-31 11:00:00,272286
noey.bnk48office,2018-05-31 11:00:00,260185
kaimook.bnk48official,2018-05-31 11:00:00,243102
kaew.bnk48official,2018-05-31 11:00:00,220372
tarwaan.bnk48office,2018-05-31 11:00:00,196608
satchan.bnk48official,2018-05-31 11:00:00,192059
namneung.bnk48official,2018-05-31 11:00:00,183370
pupe.bnk48official,2018-05-31 11:00:00,171802
namsai.bnk48official,2018-05-31 11:00:00,163106
miori.bnk48official,2018-05-31 11:00:00,161978
jane.bnk48official,2018-05-31 11:00:00,160639
can.bnk48official,2018-05-31 11:00:00,154781
jaa.bnk48official,2018-05-31 11:00:00,141624
rinaizuta.bnk48official,2018-05-31 11:00:00,140560
korn.bnk48official,2018-05-31 11:00:00,137887
mind.bnk48official,2018-05-31 11:00:00,130291
maysa.bnk48official,2018-05-31 11:00:00,130120
nink.bnk48official,2018-05-31 11:00:00,122476
kate.bnk48official,2018-05-31 11:00:00,114528
piam.bnk48office,2018-05-31 11:00:00,114325
jib.bnk48office,2018-05-31 11:00:00,108068
mewnich.bnk48official,2018-05-31 11:00:00,94851
fond.bnk48office,2018-05-31 11:00:00,82081
june.bnk48office,2018-05-31 11:00:00,78143
ratah.bnk48official,2018-05-31 11:00:00,65441
cake.bnk48official,2018-05-31 11:00:00,57503
bamboo.bnk48office,2018-05-31 11:00:00,56957
aom.bnk48official,2018-05-31 11:00:00,51059
panda.bnk48official,2018-05-31 11:00:00,49409
myyu.bnk48official,2018-05-31 11:00:00,49326
pakwan.bnk48office,2018-05-31 11:00:00,49296
deenee.bnk48official,2018-05-31 11:00:00,48421
wee.bnk48official,2018-05-31 11:00:00,47717
kheng.bnk48official,2018-05-31 11:00:00,46652
phukkhom.bnk48office,2018-05-31 11:00:00,45909
niky.bnk48office,2018-05-31 11:00:00,45298
fifa.bnk48official,2018-05-31 11:00:00,44066
view.bnk48official,2018-05-31 11:00:00,43659
stang.bnk48office,2018-05-31 11:00:00,43556
new.bnk48official,2018-05-31 11:00:00,43477
gygee.bnk48official,2018-05-31 11:00:00,42381
khamin.bnk48official,2018-05-31 11:00:00,41226
minmin.bnk48office,2018-05-31 11:00:00,40958
natherine.bnk48official,2018-05-31 11:00:00,39515
maira.bnk48official,2018-05-31 11:00:00,39435
oom.bnk48official,2018-05-31 11:00:00,38967
faii.bnk48official,2018-05-31 11:00:00,38758
nine.bnk48official,2018-05-31 11:00:00,35773
pun.bnk48official,2018-05-31 10:00:00,468051
cherprang.bnk48official,2018-05-31 10:00:00,396466
orn.bnk48official,2018-05-31 10:00:00,311129
jennis.bnk48official,2018-05-31 10:00:00,283652
music.bnk48official,2018-05-31 10:00:00,275475
mobile.bnk48official,2018-05-31 10:00:00,272201
noey.bnk48office,2018-05-31 10:00:00,260118
kaimook.bnk48official,2018-05-31 10:00:00,243034
kaew.bnk48official,2018-05-31 10:00:00,220305
tarwaan.bnk48office,2018-05-31 10:00:00,196552
satchan.bnk48official,2018-05-31 10:00:00,192003
namneung.bnk48official,2018-05-31 10:00:00,183327
pupe.bnk48official,2018-05-31 10:00:00,171759
namsai.bnk48official,2018-05-31 10:00:00,163060
miori.bnk48official,2018-05-31 10:00:00,161943
jane.bnk48official,2018-05-31 10:00:00,160594
can.bnk48official,2018-05-31 10:00:00,154745
jaa.bnk48official,2018-05-31 10:00:00,141581
rinaizuta.bnk48official,2018-05-31 10:00:00,140533
korn.bnk48official,2018-05-31 10:00:00,137846
mind.bnk48official,2018-05-31 10:00:00,130254
maysa.bnk48official,2018-05-31 10:00:00,130088
nink.bnk48official,2018-05-31 10:00:00,122447
kate.bnk48official,2018-05-31 10:00:00,114495
piam.bnk48office,2018-05-31 10:00:00,114298
jib.bnk48office,2018-05-31 10:00:00,108038
mewnich.bnk48official,2018-05-31 10:00:00,94795
fond.bnk48office,2018-05-31 10:00:00,82050
june.bnk48office,2018-05-31 10:00:00,78111
ratah.bnk48official,2018-05-31 10:00:00,65403
cake.bnk48official,2018-05-31 10:00:00,57473
bamboo.bnk48office,2018-05-31 10:00:00,56932
aom.bnk48official,2018-05-31 10:00:00,51032
panda.bnk48official,2018-05-31 10:00:00,49386
myyu.bnk48official,2018-05-31 10:00:00,49309
pakwan.bnk48office,2018-05-31 10:00:00,49275
deenee.bnk48official,2018-05-31 10:00:00,48395
wee.bnk48official,2018-05-31 10:00:00,47694
kheng.bnk48official,2018-05-31 10:00:00,46629
phukkhom.bnk48office,2018-05-31 10:00:00,45883
niky.bnk48office,2018-05-31 10:00:00,45275
fifa.bnk48official,2018-05-31 10:00:00,44043
view.bnk48official,2018-05-31 10:00:00,43624
stang.bnk48office,2018-05-31 10:00:00,43548
new.bnk48official,2018-05-31 10:00:00,43453
gygee.bnk48official,2018-05-31 10:00:00,42358
khamin.bnk48official,2018-05-31 10:00:00,41206
minmin.bnk48office,2018-05-31 10:00:00,40939
natherine.bnk48official,2018-05-31 10:00:00,39494
maira.bnk48official,2018-05-31 10:00:00,39409
oom.bnk48official,2018-05-31 10:00:00,38945
faii.bnk48official,2018-05-31 10:00:00,38740
nine.bnk48official,2018-05-31 10:00:00,35753
pun.bnk48official,2018-05-31 09:00:00,467978
cherprang.bnk48official,2018-05-31 09:00:00,396413
orn.bnk48official,2018-05-31 09:00:00,311057
jennis.bnk48official,2018-05-31 09:00:00,283615
music.bnk48official,2018-05-31 09:00:00,275410
mobile.bnk48official,2018-05-31 09:00:00,272150
noey.bnk48office,2018-05-31 09:00:00,260061
kaimook.bnk48official,2018-05-31 09:00:00,242993
kaew.bnk48official,2018-05-31 09:00:00,220260
tarwaan.bnk48office,2018-05-31 09:00:00,196516
satchan.bnk48official,2018-05-31 09:00:00,191965
namneung.bnk48official,2018-05-31 09:00:00,183293
pupe.bnk48official,2018-05-31 09:00:00,171720
namsai.bnk48official,2018-05-31 09:00:00,163026
miori.bnk48official,2018-05-31 09:00:00,161922
jane.bnk48official,2018-05-31 09:00:00,160570
can.bnk48official,2018-05-31 09:00:00,154721
jaa.bnk48official,2018-05-31 09:00:00,141554
rinaizuta.bnk48official,2018-05-31 09:00:00,140518
korn.bnk48official,2018-05-31 09:00:00,137818
mind.bnk48official,2018-05-31 09:00:00,130226
maysa.bnk48official,2018-05-31 09:00:00,130057
nink.bnk48official,2018-05-31 09:00:00,122425
kate.bnk48official,2018-05-31 09:00:00,114471
piam.bnk48office,2018-05-31 09:00:00,114278
jib.bnk48office,2018-05-31 09:00:00,108015
mewnich.bnk48official,2018-05-31 09:00:00,94747
fond.bnk48office,2018-05-31 09:00:00,82021
june.bnk48office,2018-05-31 09:00:00,78084
ratah.bnk48official,2018-05-31 09:00:00,65385
cake.bnk48official,2018-05-31 09:00:00,57455
bamboo.bnk48office,2018-05-31 09:00:00,56916
aom.bnk48official,2018-05-31 09:00:00,51015
panda.bnk48official,2018-05-31 09:00:00,49372
myyu.bnk48official,2018-05-31 09:00:00,49291
pakwan.bnk48office,2018-05-31 09:00:00,49257
deenee.bnk48official,2018-05-31 09:00:00,48378
wee.bnk48official,2018-05-31 09:00:00,47676
kheng.bnk48official,2018-05-31 09:00:00,46613
phukkhom.bnk48office,2018-05-31 09:00:00,45863
niky.bnk48office,2018-05-31 09:00:00,45255
fifa.bnk48official,2018-05-31 09:00:00,44029
view.bnk48official,2018-05-31 09:00:00,43601
stang.bnk48office,2018-05-31 09:00:00,43549
new.bnk48official,2018-05-31 09:00:00,43435
gygee.bnk48official,2018-05-31 09:00:00,42340
khamin.bnk48official,2018-05-31 09:00:00,41186
minmin.bnk48office,2018-05-31 09:00:00,40918
natherine.bnk48official,2018-05-31 09:00:00,39478
maira.bnk48official,2018-05-31 09:00:00,39394
oom.bnk48official,2018-05-31 09:00:00,38925
faii.bnk48official,2018-05-31 09:00:00,38725
nine.bnk48official,2018-05-31 09:00:00,35734
pun.bnk48official,2018-05-31 08:00:00,467923
cherprang.bnk48official,2018-05-31 08:00:00,396364
orn.bnk48official,2018-05-31 08:00:00,311007
jennis.bnk48official,2018-05-31 08:00:00,283582
music.bnk48official,2018-05-31 08:00:00,275363
mobile.bnk48official,2018-05-31 08:00:00,272110
noey.bnk48office,2018-05-31 08:00:00,260033
kaimook.bnk48official,2018-05-31 08:00:00,242960
kaew.bnk48official,2018-05-31 08:00:00,220227
tarwaan.bnk48office,2018-05-31 08:00:00,196484
satchan.bnk48official,2018-05-31 08:00:00,191935
namneung.bnk48official,2018-05-31 08:00:00,183268
pupe.bnk48official,2018-05-31 08:00:00,171697
namsai.bnk48official,2018-05-31 08:00:00,162996
miori.bnk48official,2018-05-31 08:00:00,161902
jane.bnk48official,2018-05-31 08:00:00,160544
can.bnk48official,2018-05-31 08:00:00,154695
jaa.bnk48official,2018-05-31 08:00:00,141531
rinaizuta.bnk48official,2018-05-31 08:00:00,140502
korn.bnk48official,2018-05-31 08:00:00,137787
mind.bnk48official,2018-05-31 08:00:00,130204
maysa.bnk48official,2018-05-31 08:00:00,130037
nink.bnk48official,2018-05-31 08:00:00,122411
kate.bnk48official,2018-05-31 08:00:00,114459
piam.bnk48office,2018-05-31 08:00:00,114265
jib.bnk48office,2018-05-31 08:00:00,108001
mewnich.bnk48official,2018-05-31 08:00:00,94706
fond.bnk48office,2018-05-31 08:00:00,82005
june.bnk48office,2018-05-31 08:00:00,78062
ratah.bnk48official,2018-05-31 08:00:00,65376
cake.bnk48official,2018-05-31 08:00:00,57448
bamboo.bnk48office,2018-05-31 08:00:00,56911
