name,datetime (utc timezone),fan_count
bnk48official.miori,2018-05-31 14:00:00,85403
bnk48official.mewnich,2018-05-31 14:00:00,84350
bnk48official.jane,2018-05-31 14:00:00,76872
bnk48official.korn,2018-05-31 14:00:00,74677
bnk48official.mind,2018-05-31 14:00:00,71228
bnk48official.maysa,2018-05-31 14:00:00,69627
bnk48official.nink,2018-05-31 14:00:00,63094
bnk48official.jaa,2018-05-31 14:00:00,59596
bnk48official.piam,2018-05-31 14:00:00,58902
bnk48official.izutarina,2018-05-31 14:00:00,54438
bnk48official.fond,2018-05-31 14:00:00,47552
bnk48official.jib,2018-05-31 14:00:00,47522
bnk48official.ratah,2018-05-31 14:00:00,43236
bnk48official.kate,2018-05-31 14:00:00,40108
bnk48official.june,2018-05-31 14:00:00,35899
bnk48official.bamboo,2018-05-31 14:00:00,25101
bnk48official.cake,2018-05-31 14:00:00,20724
bnk48official.panda,2018-05-31 14:00:00,19653
bnk48official.wee,2018-05-31 14:00:00,18878
bnk48official.phukkhom,2018-05-31 14:00:00,15902
bnk48official.kheng,2018-05-31 14:00:00,15452
bnk48official.new,2018-05-31 14:00:00,14902
bnk48official.niky,2018-05-31 14:00:00,13808
bnk48official.stang,2018-05-31 14:00:00,13724
pakwan.bnk48official,2018-05-31 14:00:00,13682
bnk48official.natherine,2018-05-31 14:00:00,13659
bnk48official.oom,2018-05-31 14:00:00,13015
bnk48official.aom,2018-05-31 14:00:00,12834
bnk48official.view,2018-05-31 14:00:00,12801
bnk48official.faii,2018-05-31 14:00:00,12702
bnk48official.minmin,2018-05-31 14:00:00,11641
bnk48official.maira,2018-05-31 14:00:00,10316
bnk48official.deenee,2018-05-31 14:00:00,10208
bnk48official.gygee,2018-05-31 14:00:00,9732
bnk48official.myyu,2018-05-31 14:00:00,9314
bnk48official.khamin,2018-05-31 14:00:00,9280
bnk48official.nine,2018-05-31 14:00:00,7234
bnk48official.fifa,2018-05-31 14:00:00,5591
bnk48official.pun,2018-05-31 13:00:00,455773
bnk48official.cherprang,2018-05-31 13:00:00,415494
bnk48official.orn,2018-05-31 13:00:00,266840
bnk48official.noey,2018-05-31 13:00:00,213557
bnk48official.jennis,2018-05-31 13:00:00,209664
